repo_id,repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,releases,size
0,iTXTech/Daedalus,Java,1.0,0.0,0.0900732653354403,5.66129032258065,1.85483870967742,1.0,0.0,1.0,1.0,12668.0
1,OCNYang/QBox,Java,1.0,0.0,0.201223864026856,1.12857142857143,0.257142857142857,1.0,0.000220831799779168,0.0,0.0,120874.0
2,react-native-picker/picker,Java,45.0,0.0,0.124247994652406,4.0462962962963,3.09259259259259,1.0,0.0,0.982926829268293,1.0,20962.0
3,saiwu-bigkoo/Android-AlertView,Java,1.0,0.0,0.111035422343324,1.45454545454545,3.72727272727273,1.0,0.0,0.625,0.0,2610.0
4,WuXiaolong/PullLoadMoreRecyclerView,Java,3.0,0.0,0.0874147551146931,2.4,1.45714285714286,1.0,0.0,1.0,0.0,2944.0
5,aliyun/aliyun-openapi-java-sdk,Java,2.0,0.0,0.211784527458844,62.5096153846154,1.25,1.0,0.00409738889749148,0.995398773006135,0.0,6704936.0
6,kmshack/Android-ParallaxHeaderViewPager,Java,1.0,0.0,0.054625550660793,0.704918032786885,0.475409836065574,1.0,0.0,0.888888888888889,0.0,2146.0
7,OpnTec/ots15-companion,Java,2.0,1.0,0.221537836740219,0.0,0.0,1.0,0.0,0.0,1.0,23002.0
8,androiddevelop/AlignTextView,Java,2.0,0.0,0.119642857142857,2.37142857142857,1.97142857142857,1.0,0.0,0.0,1.0,3944.0
9,MZCretin/ExpandableTextView,Java,2.0,0.0,0.128205128205128,1.078125,1.28125,0.0,0.035036496350365,0.666666666666667,1.0,5644.0
10,cmusphinx/sphinx4,Java,4.0,0.0,0.367799279927993,20.5091743119266,0.376146788990826,1.0,0.0442381636695537,0.852941176470588,0.0,112380.0
11,aritraroy/PinLockView,Java,2.0,0.0,0.13953488372093,2.26086956521739,2.47826086956522,1.0,0.0210280373831776,0.6,0.0,2886.0
12,hoang8f/android-flat-button,Java,1.0,0.0,0.0641476274165202,1.67924528301887,0.811320754716981,1.0,0.0,0.764705882352941,0.0,2130.0
13,neokree/MaterialTabs,Java,3.0,0.0,0.0706549767921609,4.91666666666667,1.25,1.0,0.0,0.444444444444444,0.0,3604.0
14,hawtio/hawtio,Java,6.0,0.0,0.12577586794898,70.5294117647059,0.279411764705882,1.0,0.242140615537081,0.997883597883598,1.0,51268.0
15,wsk1103/Used-Trading-Platform,Java,1.0,0.0,0.124400612981363,1.6271186440678,0.0169491525423729,1.0,0.0,0.958333333333333,0.0,70850.0
16,siyamed/android-satellite-menu,Java,1.0,0.0,0.107394366197183,1.66666666666667,0.0,1.0,0.0,0.0,0.0,2028.0
17,PlusHaze/TrayNotification,Java,2.0,0.0,0.163398692810458,7.71428571428571,2.85714285714286,1.0,0.0644549763033175,0.8,0.0,2560.0
18,fishwjy/MultiType-FilePicker,Java,2.0,0.0,0.0852055955913523,2.76190476190476,3.33333333333333,1.0,0.0148285449490269,0.5,0.0,8632.0
19,sleekbyte/tailor,Java,3.0,1.0,0.0946575639358474,43.1666666666667,8.9,1.0,0.439613526570048,0.995652173913044,1.0,33418.0
20,Eajy/MaterialDesignDemo,Java,3.0,0.0,0.0286115007012623,1.57142857142857,0.244897959183673,1.0,0.00346954510408635,0.916666666666667,0.0,13852.0
21,hehonghui/Colorful,Java,2.0,0.0,0.255566311713456,0.565217391304348,0.260869565217391,1.0,0.0,0.666666666666667,0.0,1538.0
22,achuna33/MYExploit,Java,2.0,0.0,0.0956103427540589,30.6666666666667,11.6666666666667,0.0,0.0,0.0,1.0,18048.0
